"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","333.007"
"Elapsed Time","Any = ForcepToReference","s","333.007"
"Path Length","Any = DriverToReference","mm","8665.09"
"Path Length","Any = ForcepToReference","mm","4896.99"
"Elapsed Time","Any = DriverTipToDriver","s","333.007"
"Path Length","Any = DriverTipToDriver","mm","10558.2"
"Elapsed Time","Any = ForcepTipToForcep","s","333.007"
"Path Length","Any = ForcepTipToForcep","mm","5930.55"
"Average Velocity","Any = DriverTipToDriver","mm/s","45.2966"
"Average Velocity","Any = ForcepTipToForcep","mm/s","21.7268"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.364311156726458	-0.00880368418289667"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","6.47777e+06"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","6.41928e+06"
"Path Inefficiency","Any = DriverTipToDriver","%","3243.32"
"Path Inefficiency","Any = ForcepTipToForcep","%","2027.09"
"Rotational Actions","Any = DriverTipToDriver","count","23"
"Rotational Actions","Any = ForcepTipToForcep","count","24"
"Rotation Total","Any = DriverTipToDriver","deg","4585.15"
"Rotation Total","Any = ForcepTipToForcep","deg","7162.1"
"Translational Actions","Any = DriverTipToDriver","count","36"
"Translational Actions","Any = ForcepTipToForcep","count","37"
