"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","492.173"
"Elapsed Time","Any = ForcepToReference","s","492.173"
"Path Length","Any = DriverToReference","mm","16543.1"
"Path Length","Any = ForcepToReference","mm","10662.7"
"Elapsed Time","Any = DriverTipToDriver","s","492.173"
"Path Length","Any = DriverTipToDriver","mm","26374.4"
"Elapsed Time","Any = ForcepTipToForcep","s","492.173"
"Path Length","Any = ForcepTipToForcep","mm","12079"
"Average Velocity","Any = DriverTipToDriver","mm/s","75.34"
"Average Velocity","Any = ForcepTipToForcep","mm/s","31.5598"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.01838771503468389	-0.046622784010606114"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","816758"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","305994"
"Path Inefficiency","Any = DriverTipToDriver","%","7864.97"
"Path Inefficiency","Any = ForcepTipToForcep","%","3027.5"
"Rotational Actions","Any = DriverTipToDriver","count","78"
"Rotational Actions","Any = ForcepTipToForcep","count","52"
"Rotation Total","Any = DriverTipToDriver","deg","16055.6"
"Rotation Total","Any = ForcepTipToForcep","deg","11231.2"
"Translational Actions","Any = DriverTipToDriver","count","89"
"Translational Actions","Any = ForcepTipToForcep","count","83"
