MetricName	MetricRoles	MetricUnit	MetricValue
Elapsed Time	Any = DriverToReference	s	918.883
Elapsed Time	Any = ForcepToReference	s	918.883
Path Length	Any = DriverToReference	mm	24530.4
Path Length	Any = ForcepToReference	mm	29524.3
Elapsed Time	Any = DriverTipToDriver	s	918.883
Path Length	Any = DriverTipToDriver	mm	31232.5
Elapsed Time	Any = ForcepTipToForcep	s	918.883
Path Length	Any = ForcepTipToForcep	mm	30542.8
Average Velocity	Any = DriverTipToDriver	mm/s	39.5326
Average Velocity	Any = ForcepTipToForcep	mm/s	37.2498
Bimanual Dexterity: Translational & Rotational	LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver	rho	"0.10113434079598306	-0.03730233042446632"
Motion Smoothness	Any = DriverTipToDriver	mm/s^3	1.0105e+06
Motion Smoothness	Any = ForcepTipToForcep	mm/s^3	538136
Path Inefficiency	Any = DriverTipToDriver	%	5738.95
Path Inefficiency	Any = ForcepTipToForcep	%	56681.3
Rotational Actions	Any = DriverTipToDriver	count	105
Rotational Actions	Any = ForcepTipToForcep	count	114
Rotation Total	Any = DriverTipToDriver	deg	23062.4
Rotation Total	Any = ForcepTipToForcep	deg	27903.8
Translational Actions	Any = DriverTipToDriver	count	149
Translational Actions	Any = ForcepTipToForcep	count	116
