"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","243.316"
"Elapsed Time","Any = ForcepToReference","s","243.316"
"Path Length","Any = DriverToReference","mm","12264.3"
"Path Length","Any = ForcepToReference","mm","10452.1"
"Elapsed Time","Any = DriverTipToDriver","s","243.316"
"Path Length","Any = DriverTipToDriver","mm","15726.3"
"Elapsed Time","Any = ForcepTipToForcep","s","243.316"
"Path Length","Any = ForcepTipToForcep","mm","10984.5"
"Average Velocity","Any = DriverTipToDriver","mm/s","87.4619"
"Average Velocity","Any = ForcepTipToForcep","mm/s","53.0101"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.1115847604413426	-0.06971897372562597"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","466160"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","414825"
"Path Inefficiency","Any = DriverTipToDriver","%","6388.33"
"Path Inefficiency","Any = ForcepTipToForcep","%","4767.27"
"Rotational Actions","Any = DriverTipToDriver","count","58"
"Rotational Actions","Any = ForcepTipToForcep","count","57"
"Rotation Total","Any = DriverTipToDriver","deg","9628.82"
"Rotation Total","Any = ForcepTipToForcep","deg","14076.8"
"Translational Actions","Any = DriverTipToDriver","count","46"
"Translational Actions","Any = ForcepTipToForcep","count","76"
